time_s,elapsed_us,pres_in,flow_in,flow_left,flow_right,pres_left,pres_right
0.000004,4,-0.006459,0.06153359,-0.17761114,0.02084864,0.003365,0.00206777
0.001836,1836,0.00167859,0.06153359,-0.17761114,0.02084864,0.003365,0.00206777
0.003752,3752,0.00167859,-0.18259152,-0.17761114,0.02084864,0.003365,0.00206777
0.005664,5664,0.00167859,-0.18259152,-0.17761114,0.02084864,0.003365,0.00206777
0.007576,7576,0.00167859,0.06153359,0.06502839,0.02084864,0.003365,-0.00606936
0.009488,9488,0.00167859,-0.18259152,-0.17761114,0.02084864,-0.00476117,0.00206777
0.011408,11408,0.00167859,-0.18259152,0.06502839,0.02084864,0.003365,0.00206777
0.013396,13396,0.00167859,-0.18259152,-0.42025067,0.02084864,0.003365,-0.00606936
0.0154,15400,0.00167859,0.06153359,-0.17761114,-0.22184451,-0.00476117,0.00206777
0.017376,17376,0.00167859,-0.18259152,-0.17761114,-0.22184451,0.003365,0.00206777
0.01936,19360,0.00167859,0.06153359,0.06502839,0.02084864,-0.00476117,0.00206777
0.021344,21344,0.00167859,0.06153359,0.30766792,0.02084864,0.003365,0.00206777
0.023328,23328,-0.006459,0.06153359,0.30766792,0.02084864,-0.00476117,0.00206777
0.025312,25312,0.00167859,0.06153359,-0.17761114,-0.22184451,0.003365,0.00206777
0.027296,27296,0.00167859,-0.18259152,-0.17761114,-0.22184451,0.003365,0.00206777
0.02928,29280,0.00167859,0.06153359,0.06502839,0.02084864,-0.00476117,0.00206777
0.031264,31264,0.00167859,0.06153359,-0.17761114,-0.22184451,0.003365,0.00206777
0.033248,33248,-0.006459,-0.18259152,-0.17761114,-0.22184451,0.003365,-0.00606936
0.035232,35232,0.00167859,-0.18259152,0.06502839,0.02084864,-0.00476117,0.00206777
0.037216,37216,0.00167859,0.06153359,0.30766792,0.02084864,0.003365,-0.00606936
0.0392,39200,0.00167859,0.06153359,0.30766792,0.02084864,0.003365,0.00206777
0.041192,41192,0.00167859,0.06153359,0.06502839,0.02084864,0.003365,0.00206777
0.043184,43184,0.00167859,0.06153359,0.30766792,0.02084864,0.003365,0.00206777
0.045176,45176,-0.006459,-0.18259152,-0.17761114,0.02084864,-0.00476117,0.00206777
0.047168,47168,0.00167859,0.06153359,0.06502839,-0.22184451,0.003365,0.00206777
0.049168,49168,0.00167859,0.06153359,0.06502839,0.02084864,0.003365,0.00206777
0.051144,51144,0.00167859,-0.18259152,-0.17761114,0.02084864,-0.00476117,-0.00606936
0.053128,53128,0.00167859,-0.18259152,-0.17761114,0.02084864,0.003365,0.00206777
0.055112,55112,0.00167859,-0.18259152,-0.17761114,0.02084864,-0.00476117,0.00206777
0.0571,57100,-0.006459,0.06153359,0.06502839,0.02084864,-0.00476117,0.00206777
0.05908,59080,0.00167859,0.06153359,0.06502839,0.02084864,-0.00476117,0.00206777
0.061064,61064,0.00167859,0.06153359,0.06502839,0.02084864,-0.00476117,0.00206777
0.063048,63048,0.00167859,0.06153359,0.06502839,-0.22184451,0.003365,0.00206777
0.065032,65032,-0.006459,-0.18259152,-0.17761114,-0.22184451,0.003365,-0.00606936
0.067016,67016,0.00167859,0.06153359,-0.17761114,0.02084864,-0.00476117,-0.00606936
0.069,69000,-0.006459,0.06153359,0.30766792,0.02084864,0.003365,0.00206777
0.070984,70984,0.00167859,-0.18259152,0.06502839,0.02084864,-0.00476117,0.00206777
